PC1,PC2,Method
0.7617184754982875,0.6900971906995919,RL
0.7312609912970939,-1.7717480979834153,RL
-0.1658407900058291,0.20245609416485255,RL
0.4052003533374975,1.2003716600545853,RL
1.1156422248508975,0.5876733064619776,RL
-0.46175993472093013,0.03771196465403664,RL
1.4081864193613471,-0.9017071436628389,RL
1.300473335716275,0.5805550433497263,RL
0.1287754922501352,-0.04757803369660296,RL
-0.33074837237378035,-0.048538114963159136,RL
-0.6202926096498824,-0.185059624545003,RL
0.23644046002953337,0.1263675832010393,RL
-0.9751515753011427,0.06848519646830717,RL
-0.43377397058650696,0.02993176400216929,RL
1.0348573593451835,1.179652500610887,RL
-1.8347673949109728,-0.31284131060233616,RL
-0.1726966673656709,-2.103337091976401,RL
-0.2925353871339395,-0.06648331513239666,RL
-0.06308180749269571,0.5927921177152878,RL
1.0157858387553769,0.9602988026471246,RL
-1.7986704016481725,-1.1119693867226752,RL
-0.7921797053799062,0.12999957033817672,RL
0.3270637382447881,-0.7469069545033161,RL
0.1729321080676413,-1.6233496669878815,RL
1.089728095498211,-1.141928767982379,RL
-0.5392244490551186,0.4028931343616933,RL
0.1446695142641306,0.343095095850115,RL
-1.4670372447781548,-0.3644791128135983,RL
-0.7284323300015663,0.4494724102699956,RL
-1.3300947483026981,0.03788994697612825,RL
-0.751284745382142,1.1433799335490913,RL
-1.8154779526965867,0.5783316581405756,RL
-0.7080633141176761,1.230087657641059,RL
1.142745650739546,-0.18654816870109664,RL
0.13542311048556635,0.5137481306917039,RL
-0.2727084214122124,-0.319973090142651,RL
-1.0870080802892024,0.23915545741193908,RL
-0.027683987334292406,-0.3016350910011911,RL
-1.7180414902817898,-0.2068120605698466,RL
-0.4235820775238709,-0.22034583143164,RL
0.8239918093158215,0.39133968336521074,RL
-0.8257982587975984,0.710612235096814,RL
1.3213923800441068,0.6469556435278497,RL
-1.741613617258699,0.23612927753755167,RL
-0.17161971437792578,0.3340031627035555,RL
-1.7180234205171134,-0.22192785544150898,RL
-0.4942434203107608,-0.3148178990470799,RL
-1.3847503488625468,0.4416186023862672,RL
-1.0893546969647963,0.3462101444253524,RL
0.6957286371874545,1.2802279102605347,RL
-0.8712877487692432,-0.2757620524019629,RL
-1.1949860289487308,-1.3348654412012941,RL
-0.3005764330344829,0.734782916137131,RL
0.9466200413114839,0.29482518371133504,RL
-1.0641506797953812,0.6534762414118945,RL
-0.2790672168016417,0.2108501718752093,RL
0.04195347514359425,1.4833398384633694,RL
0.6458170511124128,0.24862873163296392,RL
0.7171026735475029,-0.8228984028362482,RL
0.04981541118564381,0.6277902547421577,RL
0.8444219511850771,0.6019724607020773,RL
1.1413796659184976,1.323144825172462,RL
-0.1389099874737732,-0.920520422342526,RL
1.1648663634242942,-1.0771168757749232,RL
-1.0330407021441803,0.3834992824029525,RL
0.8076273886280404,0.4720101700913091,RL
0.9068409213296942,0.05435831495682761,RL
-0.3399167596841455,-0.9026893264403265,RL
2.3138548610511425,-0.896581097892644,RL
1.0166167998437912,0.8432064973423943,RL
1.6495859263840216,-1.7874827287416652,RL
0.11383653834484032,1.4568498356645552,RL
0.4180233751886651,-1.020932846990063,RL
1.1799107346312,-1.4443261122581383,RL
-0.01318933110280106,0.5108965196982894,RL
-0.4365871508483294,-0.15250279340250555,RL
0.13340325845672318,-0.49669242890970355,RL
0.3009327412384903,0.051677641176183994,RL
0.6219506019049321,0.5185939340157125,RL
0.8263346634254571,0.020227380055150734,RL
1.2120855788996387,0.5802892376369764,RL
0.9742419425280583,1.4370320359121738,RL
1.550282049108041,-0.5907412499870719,RL
1.166434712130525,-1.2285210366539379,RL
2.0868539646122017,1.0042458782515864,RL
1.630941685167027,-1.8762932493779427,RL
-1.0442338020121622,-2.6692022885249687,RL
0.9575127780897728,1.4186994358335567,RL
0.6763207653645839,-0.6217844191888514,RL
0.2949583867011231,-0.4765073296704577,RL
-0.21213515250545134,-0.1793911945527076,RL
1.0464854763161808,-1.5862189903456436,RL
0.8325971310038737,-1.2988471292087194,RL
-0.2937338322151999,-0.08946660202801435,RL
-0.5337840392600619,0.474347728585688,RL
-1.4087392671880787,-0.9200558029188577,RL
-0.057930317535492375,-1.3399412419300636,RL
0.46402643558682566,0.24198794772183746,RL
1.3476889339613858,0.2207150651454818,RL
1.5348233579138315,-0.9813833446797546,RL
0.30462828745389064,-2.3506405250549407,RL
1.0287003064246927,0.004303857926234423,RL
1.8860548570214368,0.37591328832340887,RL
0.23148349363793125,-0.2570067778777963,RL
-1.3040386377571307,0.4126379686107571,RL
0.817381135158212,-0.6145748550272223,RL
1.0739349495562047,-0.7353265981899696,RL
0.07446341286048216,-0.3527566552479527,RL
0.08391650506319756,0.11879220630889707,RL
0.2514591034273784,-0.5444012247269944,RL
-1.0908525689249502,-0.2919653161831119,RL
-2.130175935999516,-0.45087167677337353,RL
-1.102456712828264,0.07808204674758673,RL
0.5886334884950344,-1.5055848140439583,RL
-1.3382397412890232,-0.32507100263907956,RL
0.29575923599334514,-2.2477235268302636,RL
-1.5364056911926602,0.1001615075840906,RL
-1.6020553006090448,-0.21136133066477686,RL
0.9001609539587024,-1.5406396794581532,RL
-1.755775851901201,-0.18635346323028984,RL
-2.090669184584159,-0.9408814993040491,RL
1.2752825188961365,-0.8253858464387712,RL
1.1275589494328435,0.7822085265361153,RL
-1.7592463295985923,-0.6046155209452118,RL
-1.3888916490785477,0.0924523045114811,RL
-2.062356177682344,0.2608556918795198,RL
-0.3941496743816937,-1.8577255040187586,RL
-0.8703539634940858,-0.5267956406343893,RL
-1.9239750662373187,0.8411873218247823,RL
0.8547927434372826,-1.3025443582729155,RL
1.4855476361905045,-0.5905643399782529,RL
0.1453864298032546,-0.6456720248969338,RL
0.09114741773468843,-0.6748743248199225,RL
0.326079816754021,-1.7089032838844105,RL
1.077427125503201,-0.8898742990444943,RL
-1.0008381641540813,0.24576121337896226,RL
0.10912647765474381,0.6713402642592948,RL
1.606020081418328,-0.09592915872809403,RL
-0.21065538725892202,-0.05060176949631052,RL
-0.016805114647798467,0.917073067289618,RL
0.5203730796439928,0.8517631576806122,RL
0.44958324604242234,-1.4446623669096021,RL
-1.337683697515479,0.693162061941317,RL
0.24368475481499569,1.075413610144156,RL
-1.707117774588679,-0.26895613194569745,RL
-1.6699745083035022,-0.5742226778368136,RL
0.826995953790981,0.3160693480276985,RL
